frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,0.54954064,1.5915911,0.5545907,1.4474084,0.74763507,1.3373401,0.75070417,1.0706055,0.7964644,0.8409356,0.32098892,1.3612726,0.32034948,1.1040692,0.26335335,0.8795084,0.5310898,0.941266,0.59255993,0.83102894,0.6583168,0.47242552,0.648278,0.05670601,0.47290817,0.84177995,0.39262518,0.4665587,0.44519654,0.064581096,0.5687107,1.6197816,0.50136787,1.6213894,,,,,0.3571909,0.013909221,,,,,0.712045,0.0068417788,,,,
1,0.55033624,1.5915725,0.55450684,1.4476777,0.7475558,1.3372691,0.7505156,1.0705417,0.7962946,0.84090203,0.32094616,1.3610682,0.32038707,1.1038556,0.26315403,0.8795556,0.53110754,0.9413927,0.59250784,0.8311231,0.6581669,0.47249234,0.64822257,0.056782484,0.47285548,0.84194505,0.39249945,0.46674538,0.4450863,0.06476706,0.5715266,1.6200593,0.50406724,1.622142,,,,,0.3573615,0.014115274,,,,,0.71202916,0.006960571,,,,
2,0.5490167,1.5911977,0.5542861,1.447618,0.74755865,1.337168,0.75028086,1.0704532,0.79669505,0.8408867,0.3209529,1.3607416,0.31969476,1.1036359,0.26012498,0.8803843,0.5311799,0.9410043,0.59246546,0.8307123,0.6583382,0.47223848,0.64846766,0.05649036,0.4728466,0.84173286,0.39243823,0.46661556,0.44514894,0.064664245,0.56989545,1.619029,0.50242424,1.6205721,,,,,0.35663247,0.013429642,,,,,0.71200824,0.006678939,,,,
3,0.54901886,1.5912781,0.5542746,1.4476955,0.7475456,1.3372078,0.75029755,1.0704966,0.7968002,0.8409166,0.3209477,1.3608208,0.31968462,1.1037049,0.2601249,0.8802899,0.5312546,0.94107187,0.59250844,0.83078223,0.65843797,0.47228855,0.64854515,0.056547344,0.47288936,0.84185123,0.39256838,0.46670312,0.44528207,0.064744174,0.56994694,1.6190691,0.5024732,1.6206264,,,,,0.35656643,0.013528705,,,,,0.71215993,0.0068561435,,,,
4,0.5492701,1.5914993,0.5543321,1.4477497,0.74757004,1.3372728,0.7503603,1.0705886,0.79677963,0.84099734,0.32097337,1.3608673,0.31950572,1.1038346,0.26018858,0.88029087,0.53097516,0.94114727,0.5922229,0.8308175,0.658625,0.47243294,0.64794856,0.05670911,0.4726424,0.841914,0.3926169,0.46671176,0.4461119,0.06484032,0.57035667,1.6193111,0.5028663,1.6207328,,,,,0.35712332,0.013383985,,,,,0.7120332,0.0069411397,,,,
5,0.5508425,1.5919728,0.5544707,1.4476749,0.7476121,1.3373272,0.7503313,1.0706873,0.79655623,0.841122,0.32100698,1.3609385,0.31895864,1.1040584,0.26006496,0.8803055,0.5300771,0.9410797,0.59119695,0.8305826,0.6590934,0.47258684,0.64654,0.05689758,0.47174406,0.841869,0.39244807,0.46654245,0.44736004,0.06484717,0.57281935,1.6201918,0.50528,1.6216502,,,,,0.3581534,0.012873054,,,,,0.71146107,0.006814778,,,,
6,0.55148095,1.5921351,0.5545441,1.4477255,0.7475748,1.3373349,0.75041986,1.0707513,0.7962534,0.84131145,0.32098493,1.3609805,0.3190572,1.1039705,0.26233178,0.88056034,0.530018,0.9412671,0.59133697,0.83089715,0.65898967,0.472781,0.64574075,0.05711162,0.47182715,0.8419392,0.39242092,0.46659446,0.44767338,0.064959705,0.57373494,1.6207099,0.5061794,1.6221173,,,,,0.3578953,0.012909114,,,,,0.7110916,0.0069020987,,,,
7,0.55134237,1.5918379,0.55445135,1.4475641,0.7475828,1.3373518,0.7502161,1.0707589,0.7964009,0.841193,0.32097825,1.361011,0.3189016,1.1040416,0.26130053,0.8804082,0.53015774,0.94108236,0.59128785,0.8306124,0.6586453,0.47256377,0.6456559,0.056841373,0.47175783,0.84181064,0.3923347,0.46658278,0.4474904,0.06492758,0.573597,1.6206844,0.5060458,1.6221755,,,,,0.3577739,0.012770593,,,,,0.71090794,0.0066385865,,,,
8,0.55123574,1.5916947,0.5543816,1.4474574,0.74758804,1.3373559,0.7502063,1.07077,0.79656744,0.8411272,0.32096705,1.3608451,0.31907216,1.1038661,0.26088938,0.8802291,0.5302378,0.9409506,0.59127504,0.830422,0.65855736,0.47244272,0.64552927,0.056703508,0.47174662,0.8417015,0.39229786,0.46654263,0.44752532,0.06489915,0.5734926,1.620604,0.50594205,1.6221092,,,,,0.35788268,0.012626946,,,,,0.71082175,0.0064778924,,,,
9,0.55125576,1.591693,0.55442137,1.4474571,0.7476052,1.3373361,0.7503038,1.0707407,0.7967775,0.8410916,0.32098138,1.3607903,0.31930184,1.1037755,0.2606706,0.8801575,0.5302093,0.94092435,0.59124064,0.83039916,0.6585778,0.47240868,0.64544034,0.0566777,0.4717195,0.841702,0.3922495,0.4665195,0.44764695,0.064902484,0.5735482,1.6206684,0.50599515,1.6221561,,,,,0.3580746,0.012537718,,,,,0.71071035,0.0064148307,,,,
