frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,-0.062360063,1.6052635,-0.08050521,1.4717087,0.032393873,1.3856323,0.04123944,1.127324,0.14721179,0.92721176,-0.20322108,1.4065527,-0.25478348,1.1424481,-0.22313035,0.93493396,-0.07890555,0.97441703,-0.025320373,0.8731243,-0.015257314,0.5044291,-0.024541404,0.128936,-0.14342308,0.8756536,-0.17765504,0.50016356,-0.19764102,0.11586243,0.014062822,1.6470225,-0.03616665,1.6537626,,,,,-0.14700282,0.07507253,,,,,0.061176494,0.08256894,,,,
1,-0.062312685,1.6051861,-0.08048795,1.471583,0.032153934,1.3855958,0.04126905,1.1272811,0.14718057,0.92709565,-0.20334296,1.4065692,-0.2546485,1.1424127,-0.22297487,0.9349419,-0.07896267,0.9741549,-0.025242873,0.8730744,-0.015342206,0.50430095,-0.02461765,0.12880272,-0.14333087,0.8752125,-0.17527887,0.4994852,-0.19790292,0.11533433,0.014068082,1.6469815,-0.03619045,1.6537063,,,,,-0.1483626,0.07391602,,,,,0.061273932,0.0824551,,,,
2,-0.062074706,1.6051748,-0.07952059,1.4712203,0.028767139,1.3863895,0.042124577,1.1279645,0.14922148,0.9281789,-0.20331496,1.4064723,-0.25492465,1.1423903,-0.22240734,0.93472534,-0.07886743,0.97354984,-0.024575368,0.8728088,-0.0154291615,0.50410473,-0.024526455,0.12857401,-0.14290455,0.874265,-0.1751487,0.49855074,-0.19619517,0.114310026,0.014278851,1.6473188,-0.035894647,1.6540166,,,,,-0.14315456,0.06441343,,,,,0.061274387,0.082151055,,,,
3,-0.061826907,1.6048548,-0.0792214,1.4710801,0.028926015,1.3858606,0.04350605,1.1275146,0.14082797,0.9235493,-0.20343712,1.4063025,-0.25477928,1.1421939,-0.22294968,0.9343748,-0.07902345,0.9736654,-0.02458075,0.87287706,-0.01560799,0.5042398,-0.024409331,0.1287002,-0.14290044,0.8743642,-0.17614822,0.49877074,-0.1957658,0.114452064,0.014468454,1.6474326,-0.03558875,1.6539867,,,,,-0.1407299,0.06380737,,,,,0.061252534,0.08225173,,,,
4,-0.06195048,1.6047869,-0.079355314,1.4710209,0.028972223,1.3856333,0.043281347,1.1272727,0.14088088,0.92342526,-0.20377095,1.4062585,-0.2546695,1.1420509,-0.22332752,0.9343146,-0.07900393,0.97369254,-0.024579447,0.87284565,-0.015667737,0.5042584,-0.02414991,0.1287092,-0.14284864,0.8744249,-0.17630193,0.4988548,-0.19523892,0.11450368,0.014354564,1.6474376,-0.035656236,1.65395,,,,,-0.13995475,0.063750625,,,,,0.061629087,0.082357466,,,,
5,-0.06221068,1.6047544,-0.07959773,1.4710653,0.028641477,1.3855621,0.043924034,1.1271933,0.14122932,0.9230672,-0.2041502,1.4059315,-0.25433666,1.1416857,-0.2230444,0.9327146,-0.07879077,0.9741914,-0.024528787,0.8729659,-0.015809856,0.5045363,-0.023905795,0.12897909,-0.1427038,0.87519854,-0.17710277,0.49975032,-0.19545211,0.11536968,0.014056519,1.6476532,-0.03597615,1.6543708,,,,,-0.13950253,0.06978512,,,,,0.061922,0.0829134,,,,
6,-0.06246332,1.6047488,-0.07983419,1.4710615,0.028385565,1.3855333,0.044094026,1.1271667,0.14119273,0.922946,-0.20433882,1.4060231,-0.2548663,1.1418725,-0.22329536,0.93268245,-0.07870977,0.97429496,-0.02444408,0.87300146,-0.015921861,0.5046271,-0.02397151,0.12907046,-0.14257139,0.87533736,-0.17754707,0.49995416,-0.19538975,0.115549505,0.013845272,1.647639,-0.036154702,1.6543884,,,,,-0.1396912,0.07003206,,,,,0.061883695,0.08319503,,,,
7,-0.06270376,1.6048073,-0.07999205,1.4710891,0.02830039,1.3856314,0.044091433,1.1272647,0.1407674,0.9228599,-0.20452528,1.4061421,-0.25466684,1.1419214,-0.22350207,0.93269056,-0.078727275,0.97430056,-0.024438456,0.8730633,-0.01595585,0.5046574,-0.024053194,0.12910622,-0.14254752,0.87529635,-0.17691141,0.4998348,-0.1959193,0.11548513,0.013596803,1.6476533,-0.03642967,1.6544139,,,,,-0.14324415,0.06999016,,,,,0.061782375,0.08312923,,,,
8,-0.06293933,1.6048435,-0.08014295,1.4711088,0.028258853,1.385684,0.044035174,1.1273191,0.14017206,0.9227254,-0.20465639,1.40622,-0.25474304,1.1419966,-0.22366747,0.9327456,-0.07879359,0.9743089,-0.024502061,0.8730893,-0.015947029,0.50467366,-0.024069402,0.12912494,-0.14259836,0.8752902,-0.17681953,0.49981287,-0.19585289,0.11546403,0.013348326,1.6476524,-0.036710303,1.6544335,,,,,-0.1443753,0.07017732,,,,,0.061856203,0.083205044,,,,
9,-0.06315533,1.6049076,-0.08018491,1.4711399,0.028188072,1.3856552,0.044047065,1.1272936,0.13996828,0.92262685,-0.2046901,1.4062105,-0.25494212,1.1420231,-0.22378764,0.932748,-0.07887002,0.97432524,-0.024669923,0.873058,-0.015971698,0.50463426,-0.023980588,0.12908602,-0.14273028,0.8753575,-0.17729387,0.49992025,-0.19594415,0.115552545,0.013079859,1.6477888,-0.03701968,1.6545944,,,,,-0.1431495,0.070373535,,,,,0.061952777,0.08319658,,,,
