frame,joint_0_x,joint_0_y,joint_1_x,joint_1_y,joint_2_x,joint_2_y,joint_3_x,joint_3_y,joint_4_x,joint_4_y,joint_5_x,joint_5_y,joint_6_x,joint_6_y,joint_7_x,joint_7_y,joint_8_x,joint_8_y,joint_9_x,joint_9_y,joint_10_x,joint_10_y,joint_11_x,joint_11_y,joint_12_x,joint_12_y,joint_13_x,joint_13_y,joint_14_x,joint_14_y,joint_15_x,joint_15_y,joint_16_x,joint_16_y,joint_17_x,joint_17_y,joint_18_x,joint_18_y,joint_19_x,joint_19_y,joint_20_x,joint_20_y,joint_21_x,joint_21_y,joint_22_x,joint_22_y,joint_23_x,joint_23_y,joint_24_x,joint_24_y
0,2.753374,1.440006,2.8027964,1.3132844,2.774373,1.2214633,2.8324113,0.97552526,2.850206,0.77968687,2.8791733,1.2594225,2.9126642,0.9937452,2.8628843,0.78895605,2.7750006,0.8253263,2.7116215,0.74796665,2.5452702,0.45082402,2.5785322,0.08311963,2.8254197,0.71290374,2.9713411,0.4267261,3.0874226,0.10147196,2.6661851,1.4691339,2.706361,1.4785556,,,,,3.0429513,0.029938102,,,,,2.5081463,0.041373074,,,,
1,2.7445655,1.4381336,2.792947,1.3111056,2.762495,1.2178656,2.8173196,0.9707089,2.8354678,0.77393883,2.8698425,1.2574812,2.902605,0.9913845,2.8575697,0.78285295,2.7631922,0.8232471,2.7006834,0.74644256,2.5310578,0.45208213,2.5793395,0.08403313,2.8127975,0.7105259,2.9612315,0.42575267,3.083454,0.10662651,2.6577423,1.468067,2.6981652,1.4769952,,,,,3.041476,0.030369341,,,,,2.5089185,0.042047203,,,,
2,2.7358227,1.4364932,2.7832491,1.3091668,2.7506435,1.2148535,2.8032036,0.9668614,2.8195007,0.76862776,2.860428,1.256192,2.8930237,0.98979294,2.8527524,0.7779335,2.751112,0.82112896,2.6891975,0.7445639,2.5170903,0.4533826,2.5792627,0.08535576,2.7996361,0.70808625,2.9502895,0.42387104,3.0794399,0.11198747,2.6494057,1.4670343,2.6902487,1.4755473,,,,,3.0402045,0.030753791,,,,,2.5093002,0.042927027,,,,
3,2.7267334,1.4353673,2.7737153,1.3080374,2.7386906,1.2123137,2.7878196,0.96332914,2.802529,0.7639009,2.851025,1.2555989,2.8836489,0.9889582,2.8485134,0.774205,2.740105,0.82025737,2.6785383,0.7434163,2.5044932,0.45434052,2.5784314,0.08706528,2.7880466,0.70713603,2.937992,0.42091557,3.0757244,0.11792654,2.6406076,1.4661007,2.6818473,1.4742992,,,,,3.0389135,0.031332374,,,,,2.5092046,0.0436911,,,,
4,2.7173426,1.4347947,2.764063,1.3075523,2.726719,1.2100787,2.7711494,0.9599192,2.7837205,0.75960493,2.8412278,1.2556616,2.8752053,0.9889957,2.8449914,0.77193743,2.729583,0.82038516,2.6687667,0.74305856,2.4932632,0.4548269,2.576974,0.08885735,2.7767396,0.70721835,2.9247012,0.41785723,3.0717824,0.12462878,2.6314852,1.4658844,2.6729462,1.473604,,,,,3.0374465,0.03237647,,,,,2.5082545,0.044086635,,,,
5,2.7077932,1.4348068,2.7538314,1.3073297,2.714863,1.2087433,2.75577,0.95778495,2.7622354,0.7560856,2.8312626,1.256416,2.8673277,0.98987746,2.8420646,0.7710071,2.719144,0.82040083,2.6585658,0.743,2.4822757,0.45397675,2.5757027,0.09001088,2.765333,0.70703375,2.910702,0.41329557,3.067759,0.13149571,2.6222718,1.4664414,2.6639588,1.4736032,,,,,3.0361197,0.034047306,,,,,2.5072045,0.04435444,,,,
6,2.6983032,1.4351628,2.743768,1.3075712,2.703287,1.2081044,2.740647,0.95644104,2.7404525,0.7529066,2.8210497,1.2572114,2.8605943,0.9910472,2.839143,0.77105755,2.708093,0.8214353,2.648609,0.74266833,2.4723945,0.4516927,2.5751262,0.090177536,2.7537541,0.70838225,2.895435,0.40931764,3.0620725,0.14007217,2.613301,1.4676125,2.6554065,1.4742486,,,,,3.034006,0.037541986,,,,,2.5066254,0.044280708,,,,
7,2.6886597,1.4355708,2.7334118,1.3079486,2.691916,1.2076596,2.7253716,0.95533955,2.7179213,0.75039494,2.810493,1.2585741,2.853845,0.99291635,2.8358,0.7725234,2.6973727,0.82217044,2.6383498,0.7426925,2.4641075,0.44843185,2.5755746,0.08965856,2.7423277,0.709211,2.8780277,0.40235382,3.055923,0.14880848,2.6043165,1.4690707,2.646915,1.4750998,,,,,3.031464,0.041578233,,,,,2.5066602,0.0441007,,,,
8,2.679057,1.4364257,2.7227464,1.3086952,2.68023,1.2075224,2.70881,0.95459086,2.6943433,0.7484537,2.80075,1.2595654,2.8461506,0.99422324,2.832709,0.77343315,2.686897,0.8228343,2.628333,0.74263436,2.4568524,0.44466826,2.5763736,0.08881605,2.7311113,0.7099922,2.858841,0.39454657,3.0478494,0.15780574,2.5952888,1.4709018,2.6382565,1.4764214,,,,,3.0266256,0.046260655,,,,,2.506934,0.043352902,,,,
9,2.669393,1.4373343,2.7118018,1.3092843,2.6685727,1.2078509,2.6910944,0.9540553,2.6701577,0.7470623,2.7910783,1.2603666,2.8379698,0.99527717,2.8303688,0.77437353,2.6770794,0.8238751,2.6188629,0.74253607,2.4503233,0.44075048,2.577093,0.08784282,2.7210655,0.7114024,2.8384933,0.3863565,3.0380845,0.16684526,2.586086,1.4726735,2.6292338,1.4776075,,,,,3.0205183,0.05126804,,,,,2.5070558,0.042086124,,,,
